t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo
209,16,9,375,0.0625,0.6127633910606326,1.6922835573366402,5,1,3,1,1,0.06163253857807214,1.8714643661344685,27.014549875195897
210,16,9,375,0.0625,0.6128642501924365,1.6922835573366402,5,1,3,1,1,0.06753637468798974,1.8714643661344685,27.014549875195897
211,14,11,375,0.0625,0.6129644872376189,1.6922835573366402,7,1,3,1,1,0.06753637468798974,1.8714643661344685,36.14012475996977
212,14,10,376,0.0625,0.6130899443457442,1.6922835573366402,6,1,3,1,1,0.09035031189992444,2.913338122597189,27.833850291972368
213,14,10,376,0.06,0.6131928690615918,1.6922835573366402,7,0,3,1,1,0.06958462572993092,1.9602663244296004,35.48251021359085
214,13,11,376,0.06,0.6133120873601978,1.6922835573366402,8,1,2,1,1,0.08870627553397714,2.8889251156808333,35.24895228421248
215,11,13,376,0.06,0.6134421725682093,1.6922835573366402,8,1,4,1,1,0.08812238071053123,2.913338122597189,39.53101550988635
216,10,14,376,0.06,0.6135862474655802,1.6922835573366402,9,1,4,1,1,0.09882753877471591,3.1596135188322094,41.5536901201436
217,12,12,376,0.06,0.6137527377822063,1.6922835573366402,8,1,3,1,1,0.10388422530035904,3.1596135188322094,33.76862543237718
218,14,10,376,0.06,0.6138759902058052,1.6922835573366402,6,1,3,1,1,0.08442156358094294,2.6341947718798524,30.82848754418437
219,14,10,376,0.06,0.6139779572630318,1.6922835573366402,6,1,3,1,1,0.07707121886046092,2.6341947718798524,30.82848754418437
220,14,10,376,0.06,0.6140793589069609,1.6922835573366402,6,1,3,1,1,0.07707121886046092,2.6341947718798524,30.82848754418437
221,14,9,377,0.06,0.6141802007967477,1.6922835573366402,7,0,2,1,1,0.07707121886046092,2.6341947718798524,30.295602099508727
222,12,11,377,0.0575,0.614264181680205,1.6922835573366402,9,0,2,1,1,0.07573900524877182,2.776828706557543,37.89381828945868
223,10,13,377,0.0575,0.6143768419752362,1.6922835573366402,11,0,2,1,1,0.09473454572364672,3.7486911180434497,40.697137979958164
224,10,13,377,0.0575,0.6145198205494451,1.6922835573366402,11,0,2,1,1,0.10174284494989541,3.7486911180434497,40.697137979958164
225,10,13,377,0.0575,0.6146619621622238,1.6922835573366402,11,0,2,1,1,0.10174284494989541,3.7486911180434497,40.697137979958164
226,10,13,377,0.0575,0.6148032748462308,1.6922835573366402,11,0,2,1,1,0.10174284494989541,3.7486911180434497,33.50108221724711
227,10,12,378,0.0575,0.6149353934608213,1.6922835573366402,10,0,2,1,1,0.0837527055431178,2.3898555378699493,32.059002475835975
228,8,14,378,0.055,0.6150535556380045,1.6922835573366402,10,1,3,1,1,0.08014750618958995,2.3898555378699493,34.42116685993265
229,9,13,378,0.055,0.6151788461639047,1.6922835573366402,10,1,2,1,1,0.08605291714983164,2.6977631694712754,32.62086054464754
230,9,13,378,0.055,0.6152948297425683,1.6922835573366402,10,1,2,1,1,0.08155215136161888,2.4270747663198984,32.07126677723689
231,9,12,379,0.055,0.6154175192799286,1.6922835573366402,8,1,3,1,1,0.08017816694309224,2.4270747663198984,26.78556221910973
232,9,12,379,0.0525,0.6155306435695609,1.6922835573366402,9,1,2,1,1,0.06696390554777433,2.2256671824609935,23.93976484102745
233,9,12,379,0.0525,0.6156189523724765,1.6922835573366402,9,1,2,1,1,0.059849412102568625,1.7346096780439155,23.93976484102745
234,9,10,381,0.0525,0.6157069870913545,1.6922835573366402,8,0,2,1,1,0.059849412102568625,1.7346096780439155,22.462849877872053
235,10,9,381,0.0475,0.6157863208400839,1.6922835573366402,7,0,2,1,1,0.05615712469468013,1.606883525830515,21.603919952714005
236,9,10,381,0.0475,0.615863327509076,1.6922835573366402,8,0,2,1,1,0.054009799881785,1.606883525830515,25.22714388122829
237,9,10,381,0.0475,0.6159526744948118,1.6922835573366402,8,0,2,1,1,0.06306785970307073,1.606883525830515,31.703499166319265
238,9,10,381,0.0475,0.6160494858378064,1.6922835573366402,8,0,2,1,1,0.07925874791579818,2.7181118821744317,31.703499166319265
239,9,10,381,0.0475,0.6161457486597051,1.6922835573366402,8,0,2,1,1,0.07925874791579818,2.7181118821744317,31.703499166319265
240,9,10,381,0.0475,0.6162414687294322,1.6922835573366402,8,0,2,1,1,0.07925874791579818,2.7181118821744317,31.703499166319265
241,8,11,381,0.0475,0.6163366517287803,1.6922835573366402,8,0,3,1,1,0.07925874791579818,2.7181118821744317,34.181428223847554
242,10,9,381,0.0475,0.6164389026481032,1.6922835573366402,7,0,2,1,1,0.0854535705596189,2.7181118821744317,24.639283151950494
243,9,10,381,0.0475,0.6165144137784074,1.6922835573366402,7,0,3,1,1,0.061598207879876236,1.606883525830515,26.343832989668236
244,9,9,382,0.0475,0.6165924952834303,1.6922835573366402,6,0,3,1,1,0.06585958247417058,1.606883525830515,22.720609061153944
245,9,9,382,0.045,0.6166582268374958,1.6922835573366402,6,0,3,1,1,0.05680152265288486,1.606883525830515,22.720609061153944
246,10,8,382,0.045,0.616723739957988,1.6922835573366402,5,0,3,1,1,0.05680152265288486,1.606883525830515,20.72893555233216
247,7,11,382,0.045,0.6167832633196442,1.6922835573366402,8,0,3,1,1,0.051822338880830404,1.606883525830515,30.214236238181055
248,6,11,383,0.045,0.6168755824280033,1.6922835573366402,8,0,3,1,1,0.07553559059545265,1.8405569025402957,30.214236238181055
249,5,12,383,0.0425,0.6169674123369709,1.6922835573366402,9,0,3,1,1,0.07553559059545265,1.8405569025402957,38.520510706178456
