t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo
40,141,159,100,0.7525,0.4402738103568781,1.6922835573366402,73,52,34,24,24,0.7618195958483066,12.125563999512334,299.3104189586035
41,146,153,101,0.75,0.44343815912927326,1.6922835573366402,70,50,33,23,23,0.7482760473965092,12.000223877467254,284.01569415078774
42,144,154,102,0.7475,0.44640274860787327,1.6922835573366402,64,53,37,24,24,0.7100392353769694,11.678173318696626,280.5875739462181
43,155,143,102,0.745,0.4493715050257652,1.6922835573366402,62,47,34,22,22,0.7014689348655455,10.140187865036395,276.58121129694575
44,135,161,104,0.745,0.4521203893168223,1.6922835573366402,73,50,38,24,24,0.6914530282423645,10.204741710158212,308.0385937531406
45,138,156,106,0.74,0.45523119752398844,1.6922835573366402,66,50,40,22,22,0.7700964843828518,10.307871150951348,292.8869112799577
46,142,148,110,0.735,0.45812236848992155,1.6922835573366402,64,49,35,24,24,0.7322172781998944,9.230613026505974,300.42270702000076
47,135,155,110,0.725,0.46108079128885693,1.6922835573366402,69,52,34,23,23,0.751056767550002,10.77790745785639,291.4385877465138
48,131,154,115,0.725,0.4639982015834289,1.6922835573366402,66,52,36,18,18,0.7285964693662845,9.514075480001507,286.7777227264334
49,119,165,116,0.7125,0.46689557086703487,1.6922835573366402,61,61,43,22,22,0.7169443068160837,9.895405785271734,327.2362924878666
50,114,164,122,0.71,0.4701254678834647,1.6922835573366402,66,62,36,23,23,0.818090731219667,13.432777617568751,309.4623323447627
51,120,155,125,0.695,0.47316124910044394,1.6922835573366402,67,55,33,23,23,0.7736558308619071,13.283380572864147,301.3948450649463
52,119,154,127,0.6875,0.47602276964960083,1.6922835573366402,67,51,36,22,22,0.7534871126623657,11.391761836630996,302.24375863408324
53,124,148,128,0.6825,0.47882879681872,1.6922835573366402,58,53,37,24,24,0.755609396585208,11.990099304759363,312.01619509632513
54,124,147,129,0.68,0.4816942757114109,1.6922835573366402,55,51,41,20,20,0.7800404877408128,12.687442265559259,296.53385499180195
55,130,138,132,0.6775,0.4844145628887169,1.6922835573366402,52,48,38,21,21,0.7413346374795047,11.350032708940923,287.0052679243539
56,120,147,133,0.67,0.4869471408921784,1.6922835573366402,56,52,39,22,22,0.7175131698108846,10.961870639396407,292.08788444353314
57,122,144,134,0.6675,0.4894857525988217,1.6922835573366402,57,54,33,23,23,0.7302197111088327,11.458145659836374,287.3968490715575
58,124,140,136,0.665,0.49194330620661314,1.6922835573366402,57,49,34,23,23,0.7184921226788936,12.344712874204903,283.25754236101056
59,122,141,137,0.66,0.4943629164888229,1.6922835573366402,55,51,35,21,21,0.7081438559025264,12.262839241328585,273.3413530502635
60,119,142,139,0.6575,0.49671649962950487,1.6922835573366402,56,54,32,23,23,0.6833533826256586,10.45770342742759,284.2078776921031
61,125,133,142,0.6525,0.49907851168412903,1.6922835573366402,48,49,36,20,20,0.7105196942302576,9.855211719488791,257.9499538359306
62,129,129,142,0.645,0.5013110909103345,1.6922835573366402,53,47,29,21,21,0.6448748845898268,8.607240569695785,246.72145697971627
63,118,139,143,0.645,0.5034051457653707,1.6922835573366402,54,52,33,21,21,0.6168036424492908,8.041279993073863,250.0975505402381
64,114,140,146,0.6425,0.5055967213003465,1.6922835573366402,53,52,35,21,21,0.6252438763505954,8.58414131969344,258.8424911631164
65,117,137,146,0.635,0.5078262306997015,1.6922835573366402,57,50,30,22,22,0.6471062279077913,9.41069916436288,258.8258322443858
66,114,138,148,0.635,0.5100277394024845,1.6922835573366402,58,53,27,19,19,0.6470645806109648,9.093254589388563,254.30824641839178
67,105,142,153,0.63,0.512237961577244,1.6922835573366402,56,56,30,20,20,0.6357706160459797,7.374777167654295,253.11690582018167
68,113,133,154,0.6175,0.5144235745301481,1.6922835573366402,54,49,30,17,17,0.6327922645504543,8.798310658084919,234.06004496839984
69,108,135,157,0.615,0.5164570173629152,1.6922835573366402,55,48,32,21,21,0.5851501124209999,7.938284822617795,250.14758094566332
70,106,136,158,0.6075,0.5185371389535101,1.6922835573366402,56,47,33,20,20,0.6253689523641586,8.83182622075884,254.20249185116432
71,105,134,161,0.605,0.5206485971229796,1.6922835573366402,57,46,31,20,20,0.6355062296279109,9.025983826458967,248.50316030805067
72,105,133,162,0.5975,0.5227096972988828,1.6922835573366402,57,43,33,19,19,0.6212579007701268,9.027818317991292,245.6170412387438
73,104,129,167,0.595,0.5247401144782188,1.6922835573366402,60,38,31,20,20,0.6140426030968598,9.02944964276677,240.26204173934343
