t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,estrategia
147,56,19,325,0.19,0.38316847591575665,1.6922835573366402,8,5,6,3,3,0.07726834718754136,2.306559375144763,39.79328536244736,2.0,Educación mediática
148,57,17,326,0.1875,0.38328097337554623,1.6922835573366402,8,5,4,3,3,0.09948321340611845,2.8375648585595648,36.8080261534241,-2.0,Educación mediática
149,57,17,326,0.185,0.38338061535575174,1.6922835573366402,9,5,3,3,3,0.09202006538356025,2.332051395686481,39.6416957224438,0.0,Educación mediática
150,55,18,327,0.185,0.38349282353166514,1.6922835573366402,10,5,3,3,3,0.0991042393061095,2.6440130474059083,40.86472949103707,1.0,Educación mediática
151,53,19,328,0.1825,0.3836095889795028,1.6922835573366402,10,5,4,6,6,0.1021618237275927,2.6440130474059083,61.26688506823474,1.0,Educación mediática
152,50,21,329,0.18,0.3837730153578893,1.6922835573366402,11,6,4,6,6,0.15316721267058686,3.509686137162287,60.947998047403,2.0,Educación mediática
153,47,23,330,0.1775,0.3839346685747899,1.6922835573366402,12,6,5,6,6,0.15236999511850752,3.5788159673397755,63.53766564895938,2.0,Educación mediática
154,45,24,331,0.175,0.38410687568118673,1.6922835573366402,13,5,6,5,5,0.15884416412239846,3.5788159673397755,64.7768403176963,1.0,Educación mediática
155,44,22,334,0.1725,0.38427957554212455,1.6922835573366402,13,4,5,4,4,0.1619421007942408,4.073883224407862,51.00035143073837,-2.0,Educación mediática
156,41,25,334,0.165,0.3844251455002406,1.6922835573366402,14,5,6,4,4,0.12750087857684594,3.305524023750662,56.26044523790035,3.0,Educación mediática
157,40,26,334,0.165,0.384589899151743,1.6922835573366402,15,5,6,4,4,0.14065111309475087,3.772790408569003,63.3795784167121,1.0,Educación mediática
158,43,21,336,0.165,0.38477914863886936,1.6922835573366402,12,3,6,4,4,0.15844894604178028,3.772790408569003,59.984928175670525,-5.0,Educación mediática
159,45,19,336,0.16,0.38495463609626895,1.6922835573366402,11,3,5,3,3,0.14996232043917632,3.553310403522064,50.128512893580925,-2.0,Educación mediática
160,44,20,336,0.16,0.38509422904188456,1.6922835573366402,13,3,4,3,3,0.1253212822339523,3.29135155085122,50.597933808691145,1.0,Educación mediática
161,45,19,336,0.16,0.38524076428940535,1.6922835573366402,13,3,3,3,3,0.12649483452172786,3.2045918887045746,39.607793935601926,-1.0,Educación mediática
