t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,topologia
217,8,24,368,0.08,0.7696926938402988,1.5400109237910788,12,7,5,0,0,0.06757517438321452,1.741524970244677,27.46103651372561,0.0,Small-world
218,8,24,368,0.08,0.7698642568489176,1.5400109237910788,12,7,5,0,0,0.06865259128431403,1.741524970244677,27.1203779062026,0.0,Small-world
219,6,25,369,0.08,0.7700355960661,1.5400109237910788,13,6,6,0,0,0.0678009447655065,1.741524970244677,29.117903243412517,1.0,Small-world
220,6,24,370,0.0775,0.7702137418158651,1.5400109237910788,13,5,6,0,0,0.0727947581085313,1.6025130636894627,33.93298431739998,-1.0,Small-world
221,6,24,370,0.075,0.7703579425927254,1.5400109237910788,13,5,6,0,0,0.08483246079349993,3.3893628027191873,33.93298431739998,0.0,Small-world
222,5,24,371,0.075,0.7705016332787185,1.5400109237910788,14,5,5,0,0,0.08483246079349993,3.3893628027191873,33.42062751635696,0.0,Small-world
223,4,25,371,0.0725,0.7706406624933075,1.5400109237910788,15,5,5,0,0,0.0835515687908924,3.3893628027191873,34.86270725776809,1.0,Small-world
224,4,24,372,0.0725,0.7707925186049178,1.5400109237910788,15,4,5,0,0,0.08715676814442024,3.3893628027191873,33.42628285738961,-1.0,Small-world
225,5,23,372,0.07,0.7709360988492618,1.5400109237910788,15,3,5,0,0,0.08356570714347403,3.3893628027191873,32.63059229315741,-1.0,Small-world
226,5,23,372,0.07,0.7710661511750504,1.5400109237910788,15,3,5,0,0,0.08157648073289353,3.3893628027191873,34.22910835062835,0.0,Small-world
227,6,22,372,0.07,0.771210761169543,1.5400109237910788,14,3,5,0,0,0.08557277087657088,3.3893628027191873,33.387530807703335,-1.0,Small-world
228,6,22,372,0.07,0.7713485677900891,1.5400109237910788,14,3,5,0,0,0.08346882701925835,3.3893628027191873,33.387530807703335,0.0,Small-world
229,7,21,372,0.07,0.7714858694507779,1.5400109237910788,14,3,4,0,0,0.08346882701925835,3.3893628027191873,31.682980969985596,-1.0,Small-world
230,7,21,372,0.07,0.7716187269876127,1.5400109237910788,14,3,4,0,0,0.07920745242496399,3.3893628027191873,31.682980969985596,0.0,Small-world
231,8,19,373,0.07,0.7717511159111158,1.5400109237910788,12,4,3,0,0,0.07920745242496399,3.3893628027191873,26.729784457285145,-2.0,Small-world
