t,S,D,N,viralidad,avg_susceptibilidad,avg_actividad,D_credulos,D_escepticos,D_verificadores,D_super_propagadores,D_hubs,exposicion_media_desinfo,exposicion_max_desinfo,actividad_total_desinfo,tasa_cambio_D,topologia
121,36,66,298,0.2625,0.7361622289975626,1.5400109237910788,33,14,19,1,1,0.2791609724086366,5.509134713477383,106.62262738826423,-7.0,Small-world
122,34,65,301,0.255,0.7368538627891164,1.5400109237910788,32,13,20,0,0,0.26655656847066067,6.043916226033575,99.51263447662292,-1.0,Small-world
123,34,63,303,0.2475,0.7375056352060859,1.5400109237910788,30,15,18,1,1,0.24878158619155732,6.2904268872475395,103.61084058298174,-2.0,Small-world
124,33,63,304,0.2425,0.7381901292729128,1.5400109237910788,32,15,16,1,1,0.2590271014574544,6.356101598676042,102.82134937740071,0.0,Small-world
125,35,60,305,0.24,0.7388755369235273,1.5400109237910788,33,14,13,1,1,0.25705337344350176,6.206298277338937,95.12490636730743,-3.0,Small-world
126,33,61,306,0.2375,0.7394957078613661,1.5400109237910788,31,14,16,1,1,0.23781226591826857,5.667491715528788,99.28707455207724,1.0,Small-world
127,32,60,308,0.235,0.7401261765011193,1.5400109237910788,31,14,15,1,1,0.24821768638019315,5.410866444063109,98.24522770873438,-1.0,Small-world
128,30,60,310,0.23,0.7407453478423909,1.5400109237910788,32,13,15,1,1,0.245613069271836,4.564645168187358,99.91402974505536,0.0,Small-world
129,27,59,314,0.225,0.7413892407943884,1.5400109237910788,32,13,14,1,1,0.2497850743626384,4.332643097355055,93.34063579213061,-1.0,Small-world
130,26,59,315,0.215,0.7419747930279607,1.5400109237910788,33,12,14,0,0,0.23335158948032655,4.332643097355055,92.71445636209484,0.0,Small-world
131,26,58,316,0.2125,0.7425544536847051,1.5400109237910788,33,12,13,0,0,0.23178614090523714,4.023911925129378,89.42382608887979,-1.0,Small-world
132,27,57,316,0.21,0.7431132325590779,1.5400109237910788,30,11,16,0,0,0.22355956522219952,3.9221570641924535,92.2124360247832,-1.0,Small-world
133,23,57,320,0.21,0.7436841443152511,1.5400109237910788,28,11,18,0,0,0.23053109006195796,4.328640810900644,92.77643357038042,0.0,Small-world
134,22,57,321,0.2,0.7442568394627768,1.5400109237910788,26,12,19,0,0,0.23194108392595097,4.9755037029938745,89.11329096012585,0.0,Small-world
135,20,58,322,0.1975,0.7448171625846883,1.5400109237910788,27,12,19,0,0,0.22278322740031456,4.915365689045493,90.83589193769069,1.0,Small-world
136,16,61,323,0.195,0.7454156701597701,1.5400109237910788,28,12,21,0,0,0.22708972984422665,4.915365689045493,96.62845039321681,3.0,Small-world
137,17,58,325,0.1925,0.7460784064055827,1.5400109237910788,26,11,21,0,0,0.24157112598304195,4.655113045937127,93.79500686111496,-3.0,Small-world
138,15,56,329,0.1875,0.7467403615959297,1.5400109237910788,24,12,20,0,0,0.23448751715278734,4.0003921032293706,90.40042783953807,-2.0,Small-world
139,13,56,331,0.1775,0.7473744968940221,1.5400109237910788,25,13,18,0,0,0.22600106959884514,3.9518935109865425,90.8603444298626,0.0,Small-world
140,16,52,332,0.1725,0.7480147706060637,1.5400109237910788,24,11,17,0,0,0.22715086107465646,4.119509395792465,87.11182492310898,-4.0,Small-world
141,15,52,333,0.17,0.7486077952175588,1.5400109237910788,25,10,17,0,0,0.21777956230777243,4.119509395792465,87.21079468221767,0.0,Small-world
142,16,50,334,0.1675,0.749203028856292,1.5400109237910788,24,9,17,0,0,0.21802698670554416,4.119509395792465,83.42662633617657,-2.0,Small-world
143,21,43,336,0.165,0.7497643555601761,1.5400109237910788,21,7,15,0,0,0.2085665658404414,3.971496118254395,73.55364711520916,-7.0,Small-world
144,20,44,336,0.16,0.7502019832963813,1.5400109237910788,20,7,17,0,0,0.18388411778802294,3.445251263083114,75.5621501246279,1.0,Small-world
145,21,41,338,0.16,0.7506374175998404,1.5400109237910788,17,7,17,0,0,0.18890537531156976,4.0869937577551125,71.24525661268731,-3.0,Small-world
146,21,39,340,0.155,0.7510183951767216,1.5400109237910788,16,6,17,0,0,0.1781131415317183,3.963725696706404,68.62043856736497,-2.0,Small-world
147,17,43,340,0.15,0.7513757843417459,1.5400109237910788,19,6,18,0,0,0.1715510964184124,3.963725696706404,73.87542721717953,4.0,Small-world
148,14,46,340,0.15,0.751783512857894,1.5400109237910788,20,8,18,0,0,0.18468856804294886,4.4899705518776845,76.4288381433896,3.0,Small-world
149,16,44,340,0.15,0.7522203150619967,1.5400109237910788,19,8,17,0,0,0.191072095358474,4.4899705518776845,71.93012216530038,-2.0,Small-world
150,18,42,340,0.15,0.7526196175465789,1.5400109237910788,19,8,15,0,0,0.17982530541325092,4.177785179235219,64.4236210400915,-2.0,Small-world
151,20,39,341,0.15,0.7529884327213565,1.5400109237910788,19,7,13,0,0,0.16105905260022876,4.177785179235219,63.59632477533603,-3.0,Small-world
152,19,38,343,0.1475,0.7533563793723949,1.5400109237910788,17,7,14,0,0,0.15899081193834008,4.795919437256546,63.69180567156932,-1.0,Small-world
153,20,36,344,0.1425,0.7537244764986226,1.5400109237910788,16,7,13,0,0,0.1592295141789233,4.795919437256546,59.702727964762424,-2.0,Small-world
154,20,35,345,0.14,0.7540635563599554,1.5400109237910788,15,7,13,0,0,0.1492568199119061,3.8865358095546414,58.80479299951357,-1.0,Small-world
155,18,37,345,0.1375,0.7543824102653978,1.5400109237910788,16,6,15,0,0,0.14701198249878394,3.8865358095546414,62.81293808367365,2.0,Small-world
156,17,36,347,0.1375,0.7547191061720622,1.5400109237910788,16,6,14,0,0,0.15703234520918413,4.77282081371122,58.249693583657766,-1.0,Small-world
157,17,35,348,0.1325,0.755052699433019,1.5400109237910788,16,6,13,0,0,0.1456242339591444,4.657323174210503,56.479197756156424,-1.0,Small-world
158,14,37,349,0.13,0.7553593665452629,1.5400109237910788,18,6,13,0,0,0.14119799439039107,4.657323174210503,58.43313952027955,2.0,Small-world
159,14,36,350,0.1275,0.7556819224998059,1.5400109237910788,19,6,11,0,0,0.14608284880069886,4.657323174210503,56.20149516713579,-1.0,Small-world
160,14,36,350,0.125,0.7559986346476761,1.5400109237910788,20,5,11,0,0,0.1405037379178395,4.657323174210503,57.64462327985114,0.0,Small-world
161,13,37,350,0.125,0.7563295662654207,1.5400109237910788,20,4,13,0,0,0.1441115581996279,4.903833835424467,62.264907690941044,1.0,Small-world
162,15,35,350,0.125,0.7566880443636063,1.5400109237910788,19,4,12,0,0,0.15566226922735266,4.903833835424467,57.726466908937965,-2.0,Small-world
163,14,36,350,0.125,0.7570352561819537,1.5400109237910788,20,3,13,0,0,0.14431616727234495,4.903833835424467,59.74006655793749,1.0,Small-world
164,13,36,351,0.125,0.7573780381215723,1.5400109237910788,21,2,13,0,0,0.14935016639484378,4.903833835424467,59.49615889963035,0.0,Small-world
165,12,36,352,0.1225,0.7577184160840734,1.5400109237910788,21,2,13,0,0,0.1487403972490759,4.736217950618545,59.49615889963035,0.0,Small-world
166,11,37,352,0.12,0.7580569518790691,1.5400109237910788,21,3,13,0,0,0.1487403972490759,4.736217950618545,62.02100003263391,1.0,Small-world
167,10,38,352,0.12,0.7584053168789608,1.5400109237910788,21,4,13,0,0,0.15505250008158478,4.736217950618545,61.75119217455075,1.0,Small-world
168,11,37,352,0.12,0.7587521564822037,1.5400109237910788,21,4,12,0,0,0.15437798043637693,4.801892662047047,61.53704063056294,-1.0,Small-world
169,10,38,352,0.12,0.7590867340708229,1.5400109237910788,21,5,12,0,0,0.15384260157640736,4.801892662047047,62.87072503341529,1.0,Small-world
170,9,39,352,0.12,0.7594125268948413,1.5400109237910788,21,7,11,0,0,0.15717681258353824,4.18375840402572,62.29820686547618,1.0,Small-world
171,10,38,352,0.12,0.7597524525111338,1.5400109237910788,20,7,11,0,0,0.15574551716369048,4.18375840402572,62.06680374004069,-1.0,Small-world
172,12,36,352,0.12,0.7600875783253275,1.5400109237910788,19,7,10,0,0,0.15516700935010175,4.18375840402572,58.08821179122176,-2.0,Small-world
173,12,35,353,0.12,0.7603971423352206,1.5400109237910788,19,7,9,0,0,0.14522052947805442,3.297473399869141,56.20352936077011,-1.0,Small-world
174,10,37,353,0.1175,0.7606876496349219,1.5400109237910788,20,8,9,0,0,0.1405088234019253,2.7712285446978595,57.87135688658409,2.0,Small-world
175,8,37,355,0.1175,0.7609888571198208,1.5400109237910788,19,8,10,0,0,0.14467839221646023,2.7712285446978595,59.957872558100696,0.0,Small-world
176,9,36,355,0.1125,0.7612976600886412,1.5400109237910788,19,8,9,0,0,0.14989468139525175,3.657513548854439,58.207323126000716,-1.0,Small-world
177,10,34,356,0.1125,0.7616009301816257,1.5400109237910788,18,7,9,0,0,0.1455183078150018,3.657513548854439,57.11304607476715,-2.0,Small-world
178,13,29,358,0.11,0.7618956986332454,1.5400109237910788,15,5,9,0,0,0.1427826151869179,3.5918388374259367,50.68822104975525,-5.0,Small-world
179,10,32,358,0.105,0.762152047632298,1.5400109237910788,16,6,10,0,0,0.12672055262438814,3.5918388374259367,53.70094494392959,3.0,Small-world
180,10,32,358,0.105,0.7624372208509606,1.5400109237910788,16,6,10,0,0,0.134252362359824,3.5918388374259367,53.70094494392959,0.0,Small-world
181,10,32,358,0.105,0.7627208918257798,1.5400109237910788,17,5,10,0,0,0.134252362359824,3.5918388374259367,54.348203560761036,0.0,Small-world
182,10,32,358,0.105,0.7629934701276742,1.5400109237910788,16,5,11,0,0,0.13587050890190264,3.5918388374259367,55.76581822243777,0.0,Small-world
183,12,30,358,0.105,0.7632688870194398,1.5400109237910788,15,4,11,0,0,0.13941454555609445,3.5918388374259367,54.52383981032913,-2.0,Small-world
184,14,28,358,0.105,0.7635258318075231,1.5400109237910788,14,3,11,0,0,0.13630959952582286,3.5202363309762554,52.15436743591409,-2.0,Small-world
185,13,29,358,0.105,0.7637721446015775,1.5400109237910788,15,3,11,0,0,0.13038591858978524,3.5202363309762554,52.69677725448074,1.0,Small-world
186,13,29,358,0.105,0.7640228034800104,1.5400109237910788,15,3,11,0,0,0.13174194313620188,3.5202363309762554,52.69677725448074,0.0,Small-world
187,12,30,358,0.105,0.7642721271276949,1.5400109237910788,16,4,10,0,0,0.13174194313620188,3.5202363309762554,52.71558699318249,1.0,Small-world
188,13,29,358,0.105,0.7645251085155241,1.5400109237910788,16,2,11,0,0,0.13178896748295627,3.5202363309762554,50.36164830817901,-1.0,Small-world
189,14,28,358,0.105,0.7647537685259315,1.5400109237910788,15,3,10,0,0,0.12590412077044755,3.5202363309762554,50.82591939752077,-1.0,Small-world
190,15,27,358,0.105,0.7649781381953289,1.5400109237910788,13,5,9,0,0,0.12706479849380195,3.5202363309762554,44.500662152951165,-1.0,Small-world
191,14,28,358,0.105,0.7651823529528551,1.5400109237910788,14,5,9,0,0,0.11125165538237795,3.5859110424047578,45.34223969587618,1.0,Small-world
192,13,29,358,0.105,0.7653926961145584,1.5400109237910788,16,4,9,0,0,0.11335559923969046,3.5859110424047578,48.00558034055364,1.0,Small-world
193,12,29,359,0.105,0.7655990166733838,1.5400109237910788,16,4,9,0,0,0.12001395085138414,3.5202363309762554,47.33950396723198,0.0,Small-world
194,13,28,359,0.1025,0.7657991713468806,1.5400109237910788,16,4,8,0,0,0.11834875991807997,3.5918388374259367,43.74849059350861,-1.0,Small-world
195,12,29,359,0.1025,0.765981838020523,1.5400109237910788,15,6,8,0,0,0.10937122648377155,2.705553833269357,45.36890129579874,1.0,Small-world
196,13,28,359,0.1025,0.7661723248431745,1.5400109237910788,15,6,7,0,0,0.11342225323949688,2.7712285446978595,43.28636679285488,-1.0,Small-world
197,15,25,360,0.1025,0.7663511810786516,1.5400109237910788,14,5,6,0,0,0.1082159169821372,2.7712285446978595,30.996151206837432,-3.0,Small-world
198,17,22,361,0.1,0.7665035510428004,1.5400109237910788,11,5,6,0,0,0.07749037801709358,2.3605849364233866,26.332980972184192,-3.0,Small-world
199,15,24,361,0.0975,0.7666229721919856,1.5400109237910788,12,6,6,0,0,0.06583245243046049,2.3605849364233866,28.242666849984374,2.0,Small-world
200,16,22,362,0.0975,0.7667593512802269,1.5400109237910788,11,5,6,0,0,0.07060666712496094,2.1143121721708185,26.606530775375223,-2.0,Small-world
201,14,23,363,0.095,0.7668841866567543,1.5400109237910788,11,5,7,0,0,0.06651632693843806,2.1143121721708185,28.06497430908734,1.0,Small-world
202,12,25,363,0.0925,0.7670189748982128,1.5400109237910788,12,7,6,0,0,0.07016243577271836,2.1143121721708185,28.80235314907988,2.0,Small-world
203,10,27,363,0.0925,0.767175550859914,1.5400109237910788,14,7,6,0,0,0.0720058828726997,1.733057417538243,33.21764754657135,2.0,Small-world
204,9,26,365,0.0925,0.7673686454683968,1.5400109237910788,14,7,5,0,0,0.08304411886642836,2.100447946569193,29.708765266418574,-1.0,Small-world
205,10,24,366,0.0875,0.7675575763912045,1.5400109237910788,13,7,4,0,0,0.07427191316604644,2.085299366935439,27.729391159231337,-2.0,Small-world
206,9,25,366,0.085,0.7677292727563699,1.5400109237910788,13,8,4,0,0,0.06932347789807834,1.9639991891777588,29.390665370334855,1.0,Small-world
207,8,26,366,0.085,0.7679216344602131,1.5400109237910788,13,8,5,0,0,0.07347666342583714,1.9639991891777588,30.882811482008325,1.0,Small-world
208,8,26,366,0.085,0.7681255307915962,1.5400109237910788,13,8,5,0,0,0.07720702870502082,1.9639991891777588,30.882811482008325,0.0,Small-world
209,8,26,366,0.085,0.7683286877327186,1.5400109237910788,13,8,5,0,0,0.07720702870502082,1.9639991891777588,30.882811482008325,0.0,Small-world
210,10,24,366,0.085,0.7685311090450417,1.5400109237910788,12,8,4,0,0,0.07720702870502082,1.9639991891777588,27.948585628923723,-2.0,Small-world
211,9,25,366,0.085,0.7687073185942515,1.5400109237910788,13,8,4,0,0,0.0698714640723093,1.6202247924869968,28.336164204019287,1.0,Small-world
212,11,23,366,0.085,0.7688861676128227,1.5400109237910788,12,7,4,0,0,0.0708404105100482,1.6202247924869968,24.314364589055774,-2.0,Small-world
213,10,24,366,0.085,0.7690395334379374,1.5400109237910788,13,7,4,0,0,0.060785911472639446,1.6202247924869968,25.319822228994454,1.0,Small-world
214,9,25,366,0.085,0.7691996341898958,1.5400109237910788,13,7,5,0,0,0.06329955557248614,1.6202247924869968,26.063582155472965,1.0,Small-world
215,9,23,368,0.085,0.7693662048244466,1.5400109237910788,12,6,5,0,0,0.06515895538868241,1.741524970244677,24.444694538700777,-2.0,Small-world
216,8,24,368,0.08,0.7695213115464569,1.5400109237910788,13,6,5,0,0,0.06111173634675193,1.741524970244677,27.030069753285808,1.0,Small-world
